Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LOUSÃ,29/04/1986 09:00,,0.0,,,Coimbra
LOUSÃ,30/04/1986 09:00,,0.0,,,Coimbra
LOUSÃ,01/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,02/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,03/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,04/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,05/05/1986 09:00,,3.2,,,Coimbra
LOUSÃ,06/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,07/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,08/05/1986 09:00,,1.0,,,Coimbra
LOUSÃ,09/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,10/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,11/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,12/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,13/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,14/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,15/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,16/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,17/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,18/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,19/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,20/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,21/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,22/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,23/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,24/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,25/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,26/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,27/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,28/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,29/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,30/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,31/05/1986 09:00,,0.0,,,Coimbra
LOUSÃ,01/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,02/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,03/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,04/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,05/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,06/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,07/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,08/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,09/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,10/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,11/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,12/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,13/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,14/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,15/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,16/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,17/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,18/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,19/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,20/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,21/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,22/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,23/06/1986 09:00,,17.8,,,Coimbra
LOUSÃ,24/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,25/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,26/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,27/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,28/06/1986 09:00,,0.0,,,Coimbra
