Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LORDELO,09/04/1986 09:00,,0.3,,,Braga
LORDELO,10/04/1986 09:00,,0.0,,,Braga
LORDELO,11/04/1986 09:00,,1.3,,,Braga
LORDELO,12/04/1986 09:00,,0.8,,,Braga
LORDELO,13/04/1986 09:00,,0.0,,,Braga
LORDELO,14/04/1986 09:00,,0.0,,,Braga
LORDELO,15/04/1986 09:00,,10.8,,,Braga
LORDELO,16/04/1986 09:00,,8.3,,,Braga
LORDELO,17/04/1986 09:00,,7.2,,,Braga
LORDELO,18/04/1986 09:00,,5.2,,,Braga
LORDELO,19/04/1986 09:00,,2.0,,,Braga
LORDELO,20/04/1986 09:00,,0.3,,,Braga
LORDELO,21/04/1986 09:00,,17.3,,,Braga
LORDELO,22/04/1986 09:00,,26.0,,,Braga
LORDELO,23/04/1986 09:00,,31.7,,,Braga
LORDELO,24/04/1986 09:00,,3.4,,,Braga
LORDELO,25/04/1986 09:00,,0.0,,,Braga
LORDELO,26/04/1986 09:00,,1.8,,,Braga
LORDELO,27/04/1986 09:00,,0.2,,,Braga
LORDELO,28/04/1986 09:00,,4.3,,,Braga
LORDELO,29/04/1986 09:00,,0.0,,,Braga
LORDELO,30/04/1986 09:00,,0.0,,,Braga
LORDELO,01/05/1986 09:00,,0.0,,,Braga
LORDELO,02/05/1986 09:00,,0.2,,,Braga
LORDELO,03/05/1986 09:00,,1.2,,,Braga
LORDELO,04/05/1986 09:00,,9.5,,,Braga
LORDELO,05/05/1986 09:00,,0.8,,,Braga
LORDELO,06/05/1986 09:00,,5.2,,,Braga
LORDELO,07/05/1986 09:00,,9.4,,,Braga
LORDELO,08/05/1986 09:00,,0.3,,,Braga
LORDELO,09/05/1986 09:00,,0.0,,,Braga
LORDELO,10/05/1986 09:00,,0.0,,,Braga
LORDELO,11/05/1986 09:00,,0.0,,,Braga
LORDELO,12/05/1986 09:00,,0.0,,,Braga
LORDELO,13/05/1986 09:00,,0.0,,,Braga
LORDELO,14/05/1986 09:00,,0.0,,,Braga
LORDELO,15/05/1986 09:00,,2.5,,,Braga
LORDELO,16/05/1986 09:00,,0.6,,,Braga
LORDELO,17/05/1986 09:00,,0.0,,,Braga
LORDELO,18/05/1986 09:00,,0.0,,,Braga
LORDELO,19/05/1986 09:00,,0.0,,,Braga
LORDELO,20/05/1986 09:00,,0.4,,,Braga
LORDELO,21/05/1986 09:00,,0.0,,,Braga
LORDELO,22/05/1986 09:00,,0.0,,,Braga
LORDELO,23/05/1986 09:00,,0.0,,,Braga
LORDELO,24/05/1986 09:00,,0.0,,,Braga
LORDELO,25/05/1986 09:00,,0.0,,,Braga
LORDELO,26/05/1986 09:00,,0.0,,,Braga
LORDELO,27/05/1986 09:00,,0.0,,,Braga
LORDELO,28/05/1986 09:00,,0.0,,,Braga
LORDELO,29/05/1986 09:00,,0.0,,,Braga
LORDELO,30/05/1986 09:00,,0.0,,,Braga
LORDELO,31/05/1986 09:00,,0.0,,,Braga
LORDELO,01/06/1986 09:00,,0.0,,,Braga
LORDELO,02/06/1986 09:00,,0.0,,,Braga
LORDELO,03/06/1986 09:00,,0.0,,,Braga
LORDELO,04/06/1986 09:00,,0.0,,,Braga
LORDELO,05/06/1986 09:00,,0.0,,,Braga
LORDELO,06/06/1986 09:00,,0.0,,,Braga
LORDELO,07/06/1986 09:00,,0.0,,,Braga
LORDELO,08/06/1986 09:00,,0.0,,,Braga
LORDELO,09/06/1986 09:00,,0.0,,,Braga
LORDELO,10/06/1986 09:00,,0.0,,,Braga
LORDELO,11/06/1986 09:00,,0.0,,,Braga
LORDELO,12/06/1986 09:00,,0.0,,,Braga
LORDELO,13/06/1986 09:00,,0.0,,,Braga
LORDELO,14/06/1986 09:00,,0.0,,,Braga
LORDELO,15/06/1986 09:00,,0.0,,,Braga
LORDELO,16/06/1986 09:00,,0.0,,,Braga
LORDELO,17/06/1986 09:00,,0.0,,,Braga
LORDELO,18/06/1986 09:00,,0.0,,,Braga
LORDELO,19/06/1986 09:00,,0.0,,,Braga
LORDELO,20/06/1986 09:00,,0.0,,,Braga
LORDELO,21/06/1986 09:00,,4.3,,,Braga
LORDELO,22/06/1986 09:00,,5.3,,,Braga
LORDELO,23/06/1986 09:00,,15.8,,,Braga
LORDELO,24/06/1986 09:00,,0.0,,,Braga
LORDELO,25/06/1986 09:00,,0.0,,,Braga
LORDELO,26/06/1986 09:00,,0.0,,,Braga
LORDELO,27/06/1986 09:00,,0.4,,,Braga
LORDELO,28/06/1986 09:00,,0.0,,,Braga
LORDELO,29/06/1986 09:00,,0.0,,,Braga
LORDELO,30/06/1986 09:00,,0.0,,,Braga
LORDELO,01/07/1986 09:00,,0.0,,,Braga
LORDELO,02/07/1986 09:00,,0.0,,,Braga
LORDELO,03/07/1986 09:00,,0.0,,,Braga
LORDELO,04/07/1986 09:00,,0.0,,,Braga
LORDELO,05/07/1986 09:00,,0.0,,,Braga
LORDELO,06/07/1986 09:00,,0.0,,,Braga
LORDELO,07/07/1986 09:00,,0.0,,,Braga
LORDELO,08/07/1986 09:00,,0.0,,,Braga
LORDELO,09/07/1986 09:00,,0.0,,,Braga
LORDELO,10/07/1986 09:00,,0.0,,,Braga
LORDELO,11/07/1986 09:00,,0.0,,,Braga
LORDELO,12/07/1986 09:00,,0.0,,,Braga
LORDELO,13/07/1986 09:00,,0.0,,,Braga
LORDELO,14/07/1986 09:00,,0.0,,,Braga
LORDELO,15/07/1986 09:00,,0.0,,,Braga
LORDELO,16/07/1986 09:00,,0.0,,,Braga
LORDELO,17/07/1986 09:00,,0.0,,,Braga
LORDELO,18/07/1986 09:00,,0.0,,,Braga
LORDELO,19/07/1986 09:00,,0.0,,,Braga
LORDELO,20/07/1986 09:00,,0.0,,,Braga
LORDELO,21/07/1986 09:00,,0.0,,,Braga
LORDELO,22/07/1986 09:00,,0.0,,,Braga
LORDELO,23/07/1986 09:00,,0.0,,,Braga
LORDELO,24/07/1986 09:00,,0.0,,,Braga
LORDELO,25/07/1986 09:00,,0.0,,,Braga
LORDELO,26/07/1986 09:00,,0.0,,,Braga
LORDELO,27/07/1986 09:00,,0.0,,,Braga
LORDELO,28/07/1986 09:00,,0.0,,,Braga
LORDELO,29/07/1986 09:00,,0.0,,,Braga
LORDELO,30/07/1986 09:00,,0.0,,,Braga
LORDELO,31/07/1986 09:00,,0.5,,,Braga
LORDELO,01/08/1986 09:00,,0.0,,,Braga
LORDELO,02/08/1986 09:00,,0.0,,,Braga
LORDELO,03/08/1986 09:00,,0.0,,,Braga
LORDELO,04/08/1986 09:00,,0.0,,,Braga
LORDELO,05/08/1986 09:00,,0.0,,,Braga
LORDELO,06/08/1986 09:00,,0.0,,,Braga
LORDELO,07/08/1986 09:00,,0.0,,,Braga
LORDELO,08/08/1986 09:00,,0.0,,,Braga
LORDELO,09/08/1986 09:00,,0.0,,,Braga
LORDELO,10/08/1986 09:00,,2.9,,,Braga
LORDELO,11/08/1986 09:00,,0.0,,,Braga
LORDELO,12/08/1986 09:00,,0.0,,,Braga
LORDELO,13/08/1986 09:00,,0.0,,,Braga
LORDELO,14/08/1986 09:00,,0.0,,,Braga
LORDELO,15/08/1986 09:00,,0.0,,,Braga
LORDELO,16/08/1986 09:00,,0.0,,,Braga
LORDELO,17/08/1986 09:00,,0.8,,,Braga
LORDELO,18/08/1986 09:00,,8.4,,,Braga
LORDELO,19/08/1986 09:00,,0.3,,,Braga
LORDELO,20/08/1986 09:00,,0.0,,,Braga
LORDELO,21/08/1986 09:00,,0.0,,,Braga
LORDELO,22/08/1986 09:00,,0.0,,,Braga
LORDELO,23/08/1986 09:00,,0.6,,,Braga
LORDELO,24/08/1986 09:00,,0.0,,,Braga
LORDELO,25/08/1986 09:00,,0.0,,,Braga
LORDELO,26/08/1986 09:00,,3.4,,,Braga
LORDELO,27/08/1986 09:00,,0.0,,,Braga
