Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
PENEDONO,17/03/1986 09:00,,0.0,,,Viseu
PENEDONO,18/03/1986 09:00,,0.0,,,Viseu
PENEDONO,19/03/1986 09:00,,0.0,,,Viseu
PENEDONO,20/03/1986 09:00,,0.0,,,Viseu
PENEDONO,21/03/1986 09:00,,0.0,,,Viseu
PENEDONO,22/03/1986 09:00,,0.0,,,Viseu
PENEDONO,23/03/1986 09:00,,0.0,,,Viseu
PENEDONO,24/03/1986 09:00,,0.0,,,Viseu
PENEDONO,25/03/1986 09:00,,1.2,,,Viseu
PENEDONO,26/03/1986 09:00,,2.1,,,Viseu
PENEDONO,27/03/1986 09:00,,0.0,,,Viseu
PENEDONO,28/03/1986 09:00,,3.2,,,Viseu
PENEDONO,29/03/1986 09:00,,0.0,,,Viseu
PENEDONO,30/03/1986 09:00,,0.0,,,Viseu
PENEDONO,31/03/1986 09:00,,0.0,,,Viseu
PENEDONO,01/04/1986 09:00,,0.0,,,Viseu
PENEDONO,02/04/1986 09:00,,0.0,,,Viseu
PENEDONO,03/04/1986 09:00,,0.0,,,Viseu
PENEDONO,04/04/1986 09:00,,0.0,,,Viseu
PENEDONO,05/04/1986 09:00,,0.0,,,Viseu
PENEDONO,06/04/1986 09:00,,0.0,,,Viseu
PENEDONO,07/04/1986 09:00,,0.0,,,Viseu
PENEDONO,08/04/1986 09:00,,0.0,,,Viseu
PENEDONO,09/04/1986 09:00,,4.2,,,Viseu
PENEDONO,10/04/1986 09:00,,2.2,,,Viseu
PENEDONO,11/04/1986 09:00,,0.0,,,Viseu
PENEDONO,12/04/1986 09:00,,3.2,,,Viseu
PENEDONO,13/04/1986 09:00,,4.2,,,Viseu
PENEDONO,14/04/1986 09:00,,0.0,,,Viseu
PENEDONO,15/04/1986 09:00,,4.2,,,Viseu
PENEDONO,16/04/1986 09:00,,2.2,,,Viseu
PENEDONO,17/04/1986 09:00,,1.2,,,Viseu
PENEDONO,18/04/1986 09:00,,0.0,,,Viseu
PENEDONO,19/04/1986 09:00,,0.0,,,Viseu
PENEDONO,20/04/1986 09:00,,2.5,,,Viseu
PENEDONO,21/04/1986 09:00,,3.2,,,Viseu
PENEDONO,22/04/1986 09:00,,4.2,,,Viseu
PENEDONO,23/04/1986 09:00,,5.4,,,Viseu
PENEDONO,24/04/1986 09:00,,2.2,,,Viseu
PENEDONO,25/04/1986 09:00,,3.2,,,Viseu
PENEDONO,26/04/1986 09:00,,4.1,,,Viseu
PENEDONO,27/04/1986 09:00,,0.0,,,Viseu
PENEDONO,28/04/1986 09:00,,0.0,,,Viseu
PENEDONO,29/04/1986 09:00,,0.0,,,Viseu
PENEDONO,30/04/1986 09:00,,0.0,,,Viseu
PENEDONO,01/05/1986 09:00,,0.0,,,Viseu
PENEDONO,02/05/1986 09:00,,0.0,,,Viseu
PENEDONO,03/05/1986 09:00,,0.0,,,Viseu
PENEDONO,04/05/1986 09:00,,3.2,,,Viseu
PENEDONO,05/05/1986 09:00,,2.2,,,Viseu
PENEDONO,06/05/1986 09:00,,1.1,,,Viseu
PENEDONO,07/05/1986 09:00,,0.0,,,Viseu
PENEDONO,08/05/1986 09:00,,0.0,,,Viseu
PENEDONO,09/05/1986 09:00,,0.0,,,Viseu
PENEDONO,10/05/1986 09:00,,0.0,,,Viseu
PENEDONO,11/05/1986 09:00,,0.0,,,Viseu
PENEDONO,12/05/1986 09:00,,0.0,,,Viseu
PENEDONO,13/05/1986 09:00,,0.0,,,Viseu
PENEDONO,14/05/1986 09:00,,0.0,,,Viseu
PENEDONO,15/05/1986 09:00,,0.0,,,Viseu
PENEDONO,16/05/1986 09:00,,0.0,,,Viseu
PENEDONO,17/05/1986 09:00,,0.0,,,Viseu
PENEDONO,18/05/1986 09:00,,0.0,,,Viseu
PENEDONO,19/05/1986 09:00,,0.0,,,Viseu
PENEDONO,20/05/1986 09:00,,0.0,,,Viseu
PENEDONO,21/05/1986 09:00,,0.0,,,Viseu
PENEDONO,22/05/1986 09:00,,0.0,,,Viseu
PENEDONO,23/05/1986 09:00,,0.0,,,Viseu
PENEDONO,24/05/1986 09:00,,0.0,,,Viseu
PENEDONO,25/05/1986 09:00,,1.0,,,Viseu
PENEDONO,26/05/1986 09:00,,0.0,,,Viseu
PENEDONO,27/05/1986 09:00,,0.0,,,Viseu
PENEDONO,28/05/1986 09:00,,0.0,,,Viseu
PENEDONO,29/05/1986 09:00,,0.0,,,Viseu
PENEDONO,30/05/1986 09:00,,0.0,,,Viseu
PENEDONO,31/05/1986 09:00,,0.0,,,Viseu
PENEDONO,01/06/1986 09:00,,0.0,,,Viseu
PENEDONO,02/06/1986 09:00,,0.0,,,Viseu
PENEDONO,03/06/1986 09:00,,0.0,,,Viseu
PENEDONO,04/06/1986 09:00,,0.0,,,Viseu
PENEDONO,05/06/1986 09:00,,0.0,,,Viseu
PENEDONO,06/06/1986 09:00,,0.0,,,Viseu
PENEDONO,07/06/1986 09:00,,0.0,,,Viseu
PENEDONO,08/06/1986 09:00,,0.0,,,Viseu
PENEDONO,09/06/1986 09:00,,0.0,,,Viseu
PENEDONO,10/06/1986 09:00,,0.0,,,Viseu
PENEDONO,11/06/1986 09:00,,0.0,,,Viseu
PENEDONO,12/06/1986 09:00,,0.0,,,Viseu
PENEDONO,13/06/1986 09:00,,0.0,,,Viseu
PENEDONO,14/06/1986 09:00,,0.0,,,Viseu
PENEDONO,15/06/1986 09:00,,0.0,,,Viseu
PENEDONO,16/06/1986 09:00,,0.0,,,Viseu
PENEDONO,17/06/1986 09:00,,0.0,,,Viseu
PENEDONO,18/06/1986 09:00,,0.0,,,Viseu
PENEDONO,19/06/1986 09:00,,0.0,,,Viseu
PENEDONO,20/06/1986 09:00,,0.0,,,Viseu
PENEDONO,21/06/1986 09:00,,1.0,,,Viseu
PENEDONO,22/06/1986 09:00,,2.2,,,Viseu
PENEDONO,23/06/1986 09:00,,3.2,,,Viseu
PENEDONO,24/06/1986 09:00,,0.0,,,Viseu
PENEDONO,25/06/1986 09:00,,0.0,,,Viseu
PENEDONO,26/06/1986 09:00,,0.0,,,Viseu
PENEDONO,27/06/1986 09:00,,0.0,,,Viseu
PENEDONO,28/06/1986 09:00,,0.0,,,Viseu
PENEDONO,29/06/1986 09:00,,0.0,,,Viseu
PENEDONO,30/06/1986 09:00,,0.0,,,Viseu
PENEDONO,01/07/1986 09:00,,0.0,,,Viseu
PENEDONO,02/07/1986 09:00,,0.0,,,Viseu
PENEDONO,03/07/1986 09:00,,0.0,,,Viseu
PENEDONO,04/07/1986 09:00,,0.0,,,Viseu
PENEDONO,05/07/1986 09:00,,0.0,,,Viseu
PENEDONO,06/07/1986 09:00,,0.0,,,Viseu
PENEDONO,07/07/1986 09:00,,0.0,,,Viseu
PENEDONO,08/07/1986 09:00,,0.0,,,Viseu
PENEDONO,09/07/1986 09:00,,0.0,,,Viseu
PENEDONO,10/07/1986 09:00,,0.0,,,Viseu
PENEDONO,11/07/1986 09:00,,0.0,,,Viseu
PENEDONO,12/07/1986 09:00,,0.0,,,Viseu
PENEDONO,13/07/1986 09:00,,0.0,,,Viseu
PENEDONO,14/07/1986 09:00,,0.0,,,Viseu
PENEDONO,15/07/1986 09:00,,0.0,,,Viseu
PENEDONO,16/07/1986 09:00,,0.0,,,Viseu
PENEDONO,17/07/1986 09:00,,0.0,,,Viseu
PENEDONO,18/07/1986 09:00,,0.0,,,Viseu
PENEDONO,19/07/1986 09:00,,0.0,,,Viseu
PENEDONO,20/07/1986 09:00,,0.0,,,Viseu
PENEDONO,21/07/1986 09:00,,0.0,,,Viseu
PENEDONO,22/07/1986 09:00,,0.0,,,Viseu
PENEDONO,23/07/1986 09:00,,0.0,,,Viseu
PENEDONO,24/07/1986 09:00,,0.0,,,Viseu
PENEDONO,25/07/1986 09:00,,0.0,,,Viseu
PENEDONO,26/07/1986 09:00,,0.0,,,Viseu
PENEDONO,27/07/1986 09:00,,0.0,,,Viseu
PENEDONO,28/07/1986 09:00,,0.0,,,Viseu
PENEDONO,29/07/1986 09:00,,0.0,,,Viseu
PENEDONO,30/07/1986 09:00,,0.0,,,Viseu
PENEDONO,31/07/1986 09:00,,0.0,,,Viseu
PENEDONO,01/08/1986 09:00,,0.0,,,Viseu
PENEDONO,02/08/1986 09:00,,0.0,,,Viseu
