SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALBUFEIRA DO CAIA (19O/02F),,ALBUFEIRA DO CAIA (19O/02F),,ALBUFEIRA DO CAIA (19O/02F),,ALBUFEIRA DO CAIA (19O/02F),,ALBUFEIRA DO MARANHÃO (19J/04F),,ALBUFEIRA DO MARANHÃO (19J/04F),,ALBUFEIRA DO MARANHÃO (19J/04F),,ALBUFEIRA DO MARANHÃO (19J/04F),,ALBUFEIRA DO ROXO (26I/02F),,ALBUFEIRA DO ROXO (26I/02F),,ALBUFEIRA DO ROXO (26I/02F),,ALBUFEIRA DO ROXO (26I/02F),,ALCAFOZES (14O/02U),,ALCAFOZES (14O/02U),,ALCAFOZES (14O/02U),,ALCAFOZES (14O/02U),,ALCAINS (14M/01UG),,ALCAINS (14M/01UG),,ALCAINS (14M/01UG),,ALCAINS (14M/01UG),,ALCANEDE (17E/01U),,ALCANEDE (17E/01U),,ALCANEDE (17E/01U),,ALCANEDE (17E/01U),,ALCANENA (17F/02CU),,ALCANENA (17F/02CU),,ALCANENA (17F/02CU),,ALCANENA (17F/02CU),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
02/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
03/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
04/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0.4,(vco),,,,,,,,,,,,,
05/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,1,(vco),,,,,,,,,,,,,
06/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,7,(vco),,,,,,,,,,,,,
07/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,16.2,(vco),,,,,,,,,,,,,
08/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0.4,(vco),,,,,,,,,,,,,
09/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
10/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
11/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
12/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
13/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
14/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,1,(vco),,,,,,,,,,,,,
15/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,1,(vco),,,,,,,,,,,,,
16/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,5.6,(vco),,,,,,,,,,,,,
17/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0.2,(vco),,,,,,,,,,,,,
18/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
19/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
20/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
21/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
22/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
23/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
24/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
25/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
26/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(vco),,,,,,,16,(vco),,,,,,,,,,,,,
27/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,(vco),,,,,,,4.6,(vco),,,,,,,,,,,,,
28/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,2.4,(vco),,,,,,,,,,,,,
29/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0.8,(vco),,,,,,,,,,,,,
30/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,(vco),,,,,,,8.2,(vco),,,,,,,,,,,,,
31/05/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
01/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,(vco),,,,,,,1.2,(vco),,,,,,,,,,,,,
02/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,(vco),,,,,,,6.8,(vco),,,,,,,,,,,,,
03/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,(vco),,,,,,,4.2,(vco),,,,,,,,,,,,,
04/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0.4,(vco),,,,,,,,,,,,,
05/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,8,(vco),,,,,,,,,,,,,
06/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0.2,(vco),,,,,,,,,,,,,
07/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
08/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
09/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
10/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
11/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
12/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
13/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
14/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
15/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
16/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
17/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
18/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
19/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
20/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
21/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
22/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
23/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
24/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
25/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
26/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
27/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
28/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
29/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
30/06/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
01/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
02/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0.2,(vco),,,,,,,,,,,,,
03/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
04/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
05/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
06/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
07/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
08/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
09/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
10/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
11/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
12/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
13/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
14/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
15/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
16/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
17/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
18/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
19/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
20/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
21/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
22/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
23/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
24/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
25/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
26/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
27/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
28/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
29/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,1.6,(vco),,,,,,,,,,,,,
30/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
31/07/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
01/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
02/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
03/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
04/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
05/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
06/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
07/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
08/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
09/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
10/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
11/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
12/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
13/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
14/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
15/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
16/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
17/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
18/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
19/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
20/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
21/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
22/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
23/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
24/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
25/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
26/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
27/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
28/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
29/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
30/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
31/08/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
01/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
02/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
03/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
04/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
05/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
06/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
07/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
08/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
09/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
10/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
11/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
12/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
13/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
14/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
15/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
16/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
17/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
18/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0.4,(vco),,,,,,,,,,,,,
19/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
20/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
21/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
22/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
23/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
24/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
25/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
26/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
27/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
28/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
29/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
30/09/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
01/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
02/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
03/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
04/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(vco),,,,,,,,,,,,,,,,,,,,,
05/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
06/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
07/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
08/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
09/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
10/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
11/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
12/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
13/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
14/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
15/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
16/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
