SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,SÃO VICENTE DE CHÃ (03K/03UG),,SÃO VICENTE DE CHÃ (03K/03UG),,TABUAÇO (07L/09G),,TABUAÇO (07L/09G),,TAIPAS (05G/04UG),,TAIPAS (05G/04UG),,TAMANHOS (09N/01UG),,TAMANHOS (09N/01UG),,TAMEL (04F/02UG),,TAMEL (04F/02UG),,TAROUCA (07K/08U),,TAROUCA (07K/08U),,TAVEIRO (12G/03U),,TAVEIRO (12G/03U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
19/06/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
20/06/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
21/06/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
22/06/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
23/06/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
24/06/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
25/06/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
26/06/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
27/06/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
28/06/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
29/06/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
30/06/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
01/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
02/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,2.2,(vco),,,
03/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0.7,(vco),,,
04/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
05/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
06/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
07/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
08/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
09/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
10/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
11/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
12/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
13/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
14/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
15/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
16/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
17/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
18/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
19/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
20/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
21/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
22/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
23/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
24/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
25/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
26/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
27/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
28/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,2.5,(vco),,,0,(vco),,,
29/07/1985 09:00,,,,,,,,,,,,,5,(vco),,,,,,,0,(vco),,,6.1,(vco),,,
30/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
31/07/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
01/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
02/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
03/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
04/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
05/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
06/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
07/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
08/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0.6,(vco),,,
09/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
10/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
11/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
12/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
13/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
14/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
15/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
16/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
17/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
18/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
19/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
20/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
21/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
22/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
23/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
24/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
25/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
26/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
27/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
28/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
29/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
30/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
31/08/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
01/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
02/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
03/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
04/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
05/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
06/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
07/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
08/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
09/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
10/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
11/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
12/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
13/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
14/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
15/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
16/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
17/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
18/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
19/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
20/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
21/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,3.6,(vco),,,
22/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
23/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
24/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
25/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
26/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
27/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
28/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
29/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
30/09/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
01/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
02/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,2.5,(vco),,,0,(vco),,,
03/10/1985 09:00,,,,,,,,,,,,,4.6,(vco),,,,,,,2.3,(vco),,,0,(vco),,,
04/10/1985 09:00,,,,,,,,,,,,,4,(vco),,,,,,,0,(vco),,,14.2,(vco),,,
05/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
06/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
07/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
08/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
09/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
10/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
11/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
12/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
13/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
14/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
15/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
16/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
17/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
18/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
19/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
20/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
21/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
22/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
23/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
