SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,MUGE (19E/01UG),,MUGE (19E/01UG),,MURES ASSECA (TERRUGEM) (20M/04G),,MURES ASSECA (TERRUGEM) (20M/04G),,MURÇA (05M/03U),,MURÇA (05M/03U),,MÉRTOLA (28L/01UG),,MÉRTOLA (28L/01UG),,NISA (16L/03UG),,NISA (16L/03UG),,NOGUEIRA (03E/02UG),,NOGUEIRA (03E/02UG),,ODEMIRA (28F/01UG),,ODEMIRA (28F/01UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
12/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
13/06/1985 09:00,0.2,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
14/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
15/06/1985 09:00,0.2,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
16/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
17/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
18/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
19/06/1985 09:00,0,(vco),,,,,,,,,,,3.5,(vco),,,0,(vco),,,0,(vco),,,0.5,(vco),,,
20/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
21/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,5,(vco),,,0,(vco),,,
22/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
23/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
24/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
25/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
26/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
27/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
28/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
29/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
30/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
01/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
02/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,4,(vco),,,0,(vco),,,
03/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
04/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
05/07/1985 09:00,6.3,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
06/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
07/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
08/07/1985 09:00,4.3,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,3,(vco),,,0,(vco),,,
09/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
10/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
11/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
12/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
13/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0.5,(vco),,,0,(vco),,,
14/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
15/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
16/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
17/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
18/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
19/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
20/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
21/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
22/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
23/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
24/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
25/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
26/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
27/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
28/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,14,(vco),,,0,(vco),,,
29/07/1985 09:00,0.2,(vco),,,,,,,,,,,0,(vco),,,1.7,(vco),,,18,(vco),,,0.5,(vco),,,
30/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0.7,(vco),,,0,(vco),,,
31/07/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
01/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
02/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
03/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
04/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
05/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0.2,(vco),,,0,(vco),,,
06/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
07/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
08/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
09/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
10/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,9.6,(vco),,,0,(vco),,,
11/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,14.7,(vco),,,0,(vco),,,
12/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0.3,(vco),,,0,(vco),,,
13/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
14/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0.4,(vco),,,0,(vco),,,
15/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,4,(vco),,,0,(vco),,,
16/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
17/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
18/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
19/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
20/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
21/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
22/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
23/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
24/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,4.5,(vco),,,0,(vco),,,
25/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,3,(vco),,,0,(vco),,,
26/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
27/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
28/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
29/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
30/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
31/08/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
01/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
02/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
03/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,2,(vco),,,0,(vco),,,
04/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
05/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
06/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
07/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
08/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
09/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
10/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
11/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
12/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
